Sample Index,TCGA ID,Sample Type,Total Deregulations,Brownian Deregulations,Brownian Nodes (Out degree>0),Cluster,CFAP65,CDKN1C,AC245100.2,AC008764.8,LRATD2,AL137186.2,TRIM2,AL022332.1,MADCAM1,U3,AC012213.3,(ENSG00000264976),OAT,AC007000.2,DNPH1
0,TCGA-XK-AAJP-01A,Tumor,8459,1,19480,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1
1,TCGA-V1-A8WL-01A,Tumor,5958,4,10467 30739 34215,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0
2,TCGA-J9-A52B-01A,Tumor,7596,1,6355,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
3,TCGA-HC-7742-11A,Normal,2658,161,Multiple,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TCGA-HC-7745-01A,Tumor,5560,1,238,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,TCGA-G9-6363-01A,Tumor,8142,1,567,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6,TCGA-XJ-A9DK-01A,Tumor,5316,1,10731,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,TCGA-KK-A7B3-01A,Tumor,8041,3,4962 43738 44763,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1
8,TCGA-EJ-A46H-01A,Tumor,6522,2,11364 43395,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,TCGA-VN-A88K-01A,Tumor,7546,5,16752 23970 24835 41757,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1
10,TCGA-EJ-8469-01A,Tumor,9062,2,2943,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
11,TCGA-G9-6384-11A,Normal,3155,1,33475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,TCGA-FC-A5OB-01A,Tumor,9506,1,13191,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0
13,TCGA-EJ-7788-01A,Tumor,5768,1,7730,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
14,TCGA-V1-A9ZI-01A,Tumor,8641,1,21074,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
15,TCGA-HC-7740-01A,Tumor,2368,3,30712 32938,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,TCGA-EJ-7794-11A,Normal,3666,2,32568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,TCGA-G9-6362-11A,Normal,7962,1,9973,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,TCGA-J4-A83I-01A,Tumor,8514,2,15756 18120,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0
19,TCGA-KK-A7AP-01A,Tumor,11302,1,6356,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1
