Node,Frequency,Frequency_in_cancer,In_Degree,Out_Degree
0,0.0018148820326678765,0.002004008016032064,0,178
1,0.0054446460980036296,0.006012024048096192,3,272
2,0.0780399274047187,0.0841683366733467,66,1
3,0.003629764065335753,0.004008016032064128,2,1536
4,0.11796733212341198,0.1282565130260521,92,0
5,0.10163339382940109,0.11022044088176353,69,95
6,0.003629764065335753,0.004008016032064128,2,2138
7,0.050816696914700546,0.056112224448897796,16,10
8,0.16696914700544466,0.1843687374749499,182,0
9,0.11796733212341198,0.12424849699398798,115,0
10,0.007259528130671506,0.008016032064128256,7,142
11,0.0018148820326678765,0.002004008016032064,0,718
12,0.02722323049001815,0.03006012024048096,12,5
13,0.009074410163339383,0.01002004008016032,7,711
14,0.27041742286751363,0.2745490981963928,260,0
15,0.47368421052631576,0.5130260521042084,978,0
16,0.041742286751361164,0.04408817635270541,47,380
17,0.014519056261343012,0.014028056112224449,11,381
18,0.014519056261343012,0.01603206412825651,7,10
19,0.0018148820326678765,0.002004008016032064,0,195
20,0.0018148820326678765,0.002004008016032064,0,167
21,0.029038112522686024,0.03206412825651302,42,365
22,0.0780399274047187,0.08216432865731463,68,16
23,0.0054446460980036296,0.006012024048096192,3,1020
24,0.05807622504537205,0.05811623246492986,39,146
25,0.11433756805807622,0.11623246492985972,69,0
26,0.05263157894736842,0.05410821643286573,41,1
27,0.10344827586206896,0.10821643286573146,44,0
28,0.32667876588021777,0.3366733466933868,771,0
29,0.025408348457350273,0.028056112224448898,20,68
30,0.056261343012704176,0.06212424849699399,27,0
31,0.010889292196007259,0.012024048096192385,8,556
32,0.12704174228675136,0.13627254509018036,164,1
33,0.039927404718693285,0.04408817635270541,21,66
34,0.2958257713248639,0.3226452905811623,559,0
35,0.0018148820326678765,0.002004008016032064,0,233
36,0.021778584392014518,0.022044088176352707,10,563
37,0.009074410163339383,0.01002004008016032,8,1046
38,0.023593466424682397,0.026052104208416832,23,584
39,0.04900181488203267,0.050100200400801605,53,76
40,0.7967332123411979,0.7975951903807615,1933,0
41,0.023593466424682397,0.026052104208416832,26,362
42,0.15789473684210525,0.17034068136272545,124,0
43,0.04900181488203267,0.052104208416833664,34,4
44,0.018148820326678767,0.02004008016032064,17,268
45,0.06352087114337568,0.07014028056112225,66,215
46,0.19419237749546278,0.20240480961923848,234,0
47,0.009074410163339383,0.01002004008016032,5,1322
48,0.036297640653357534,0.04008016032064128,17,34
