Node,Frequency,Frequency_in_cancer,In_Degree,Out_Degree,Multiplicity,Associated_genes
0,0.0018,0.002,0,178,11,"LINC02082, AP002414.5, MTND4LP20, UBE2V1P14, AC092824.1, TBC1D29P, MTND3P20, (ENSG00000265771), (ENSG00000215999), CYP2AC1P, LINC02042"
1,0.0054,0.006,3,272,673,"AC090241.2, OR2D2, ENTPD1-AS1, AC097063.1, AC134050.1, MTATP6P19, AC103592.1, AC008079.1, RLIMP1, HNRNPA1P40, AC009145.3, AL354794.2, AC099494.1, AC244131.1, RBMS3-AS1, NTAN1P1, MORF4L1P5, DMD-AS3, HMGB1P47, AC079866.1, AL445220.1, MTND5P32, AC027279.4, AC092162.2, AL365273.1, (ENSG00000280959), POM121L6P, RN7SKP133, CCNB2P1, ERVW-1, NUDT19P4, OR52U1P, (ENSG00000281325), RN7SKP62, AC009948.3, C15orf54, MTCO1P14, SEC24AP1, HTR5BP, AC072039.1, RN7SL164P, PRXL2CP1, MIR1302-9HG, AL513188.1, AC092666.1, AC008534.1, SLC25A14P1, CLMAT3, KCTD9P4, AC107980.1, AC026362.2, RN7SKP162, MTND6P32, AC079298.2, EGFLAM-AS2, AC008406.2, AL022322.2, COQ10BP2, AC106818.1, USP17L7, LINC01613, OR52W1, RN7SL655P, AP000763.1, AC022537.1, PPFIA1P1, EQTN, AL357568.1, AC005480.1, AC012186.1, AL513122.1, HNRNPA1P29, POLR2CP1, AC104129.1, AIRN, AC005183.1, OR5BJ1P, AC018450.2, AL117342.1, RNU1-101P, CELF2-AS2, GJA6P, TREML5P, AC110603.1, MTCYBP32, AC114878.2, C5orf66-AS2, ZDHHC4P1, AP003355.1, AL357793.2, ALDH7A1P2, OR51M1, AC009951.4, RUNX2-AS1, LINC00901, PCDH9-AS3, AL109946.1, (ENSG00000279355), AC136443.5, PDZRN3-AS1, (ENSG00000279038), AL445493.2, AC233702.7, CEACAM8, AC091607.1, OR51A10P, AL353801.2, AC022679.1, RAD17P2, AC079193.2, AP001604.1, TPST2P1, ALG9-IT1, MTATP6P22, Z82190.1, PDHA1P1, AL022323.3, SF3A3P1, RPL23AP22, ACTR3BP4, EIF4EP4, (ENSG00000255414), AC136285.1, IFNK, RN7SKP113, MDH1P1, PLET1, AC011405.1, AC144833.1, YWHAQP5, MTND2P26, (ENSG00000233501), AL162253.1, AL109755.1, AC019278.1, LINC00691, AP000711.1, SMARCB1, AL392183.1, NLGN1-AS1, NCAPGP1, AC092111.2, AL356121.2, AC005912.2, AC012370.2, RN7SL638P, AC009542.1, LZTS1-AS1, KCNIP1-AS1, EIF2S2P5, AC016493.1, DDX18P5, AC105224.1, MTFR2P1, DLG2-AS2, TRPV1, PLCE1-AS1, AL357153.4, AL162233.1, S100A7P1, PRDX3P4, FGF12-AS1, HSPA8P19, AL645949.2, AC091132.3, DUXAP7, AC007638.2, AC006197.1, NT5C1B, AL023775.1, AL031772.1, TAS2R3, CEP170P1, AC092652.1, AC114763.2, AP005059.2, LINC00608, (ENSG00000280240), AC097717.1, YRDCP2, AC022929.1, AC124804.1, AL591719.1, AC007370.2, PACRG-AS3, YBX1P3, KATNBL1P2, PBX1-AS1, AC009716.2, AL132656.3, AC099494.3, AC022784.3, CCNB1IP1P1, SALRNA2, AC099811.6, AC105114.1, OR51A4, AC079777.1, ST13P10, IGSF21-AS1, AL159174.1, OR51B2, AC004672.1, PRICKLE2-AS3, ACTG1P18, RBM17P4, SHMT1P1, PTTG3P, KCTD9P1, NCKAP5-AS1, BRD7P3, AP003071.2, TAF9BP2, ARHGEF3-AS1, OR10J2P, PHACTR2-AS1, AL158212.4, AC026124.1, UBE2L2, FOXN3-AS2, AL365338.1, AL031595.3, LARP4P, AC010320.2, AC018445.4, AC092127.1, C12orf40, PAICSP7, APOL5, AP000857.1, HNRNPA3P15, AL133284.1, TAS2R62P, GYPB, UPB1, AC092053.1, AC008764.1, AC079089.3, AC113615.1, AC244517.11, AC006288.1, AC129502.1, AC012409.2, Z93022.1, POU5F2, AC079226.2, TMLHE-AS1, MTND5P33, AC012409.5, CARS1-AS1, LINC01712, AC006141.1, AC013562.1, ALOX12P1, SHANK2-AS3, CNPPD1, LINC02254, CAPS2-AS1, CCNJP2, AC015959.1, AC011242.1, AC092692.1, GABARAPL3, AL450344.2, CHODL-AS1, AC084783.1, AL445523.1, AC066616.2, AC010997.6, AC090213.1, (ENSG00000219448), CNOT7P1, (ENSG00000231865), AC090518.1, AL390783.1, KIRREL1-IT1, AC103876.1, (ENSG00000279191), AC018445.3, AC022710.1, AC027335.1, LINC02400, MTCYBP24, MRS2P1, VPS26BP1, (ENSG00000279802), RPL4P7, RYKP1, AL589863.1, FAM156A, SEMA5A-AS1, PAICSP2, ZNF90P1, AL445193.2, AC010608.3, AC100800.1, TYRO3P, (ENSG00000280413), AC012048.1, AC104162.1, UBQLN3, LINC00678, AC115621.1, AC093158.1, AC106801.1, AL732323.1, AC009044.1, OR2AG2, PAFAH1B1P2, POLDIP2, CACNA2D1-AS1, AL050403.1, AC011933.2, HMGN1P10, MTCYBP43, AFF2-IT1, AC005692.2, LINC01832, OR2A25, FAM186B, AMMECR1-IT1, SMG1P6, (ENSG00000184258), AL512306.1, SLIT3-AS1, YBX1P8, AC007598.3, LARGE-IT1, AC092068.3, AL031595.1, RN7SL504P, TMEM72, AC022540.1, C8orf17, GK3P, ZNF75BP, PITPNM2-AS1, DCTN2, (ENSG00000260977), ABI1P1, AC016144.1, AL022323.1, AC010082.1, AC063926.2, OR56B1, PDE4B-AS1, AC078925.3, AP004289.2, SDAD1-AS1, AP005060.1, AC093849.1, AC090971.4, AC009303.3, OR6R1P, AL133243.4, MTND1P36, LINC02140, SPACA5B, AL135934.1, AC021517.1, ENPP7P5, NAV2-AS5, AC015871.4, AL138713.1, AL139118.1, FO393401.1, RN7SKP102, MTND2P16, LINC00994, AL606537.1, MTND2P4, AC109630.1, AC110048.2, AL132655.1, AC037479.1, AC016251.1, (ENSG00000261013), AC092910.1, TPT1P11, MTND4P16, AC105206.1, AC105760.1, LARGE-AS1, AC010886.1, RPL17P17, AC063955.1, AL049780.3, AC130448.1, TAS2R39, WHSC1L2P, BIRC6-AS1, AL136984.1, CNOT2, AC233701.1, OR6A2, ARMC4P1, AC008269.2, SETP10, GYG2-AS1, AC092747.1, AC078925.2, OR13D1, AP003718.1, (ENSG00000279978), NAALADL2-AS1, RN7SKP291, RPL12P40, VAC14-AS1, AC074031.1, SIRPD, AL096817.1, AC018371.1, SNORA59B, NDUFB8P1, PLCE1-AS2, RN7SKP91, AC104964.2, AC108199.1, AC093766.1, GCM2, DPYD-AS2, FGF14-AS1, KIAA2013, SPDYE17, USP17L2, AC006355.1, MARK3P3, AL512637.1, AC019270.1, AP004289.1, AC008498.2, MAPRE3-AS1, RPEP3, AC006205.1, AL158068.1, AL391097.1, MACROD2-IT1, AC110794.1, Z99129.3, AF130417.1, FAM96AP1, AC099329.1, AC007336.3, AC005304.2, RN7SL214P, CEP295NL, AC016245.1, AC068389.2, ADAD1P2, AC091953.2, TAS2R60, RHOXF2, BLID, AC025539.1, HMGB1P21, BX284613.1, AC093330.2, KRT8P19, AC114401.1, AC003659.1, AC111149.2, AC016397.2, (ENSG00000232018), OR52H1, AC092944.2, AC020661.4, OR1L6, AC010486.3, AC009365.3, AL162584.1, LINC02312, RABGAP1L-AS1, SMAD1-AS2, LINC01567, AC116903.2, ZNF859P, AL118556.2, AL139193.2, C4BPAP1, AC079316.2, MARK2P17, AL583824.1, AC130709.1, AC073476.2, KDM5C-IT1, EIF5P1, AC023825.1, RPSAP37, AL138820.1, OR51R1P, OR2D3, AC004470.1, AC078842.2, AGBL4-IT1, C9orf131, (ENSG00000235733), AC025627.1, SRRM1P3, AL022400.1, OR52H2P, AC087203.2, AC104389.3, TAS2R13, AL157712.1, POM121L14P, FAM204CP, AL138828.1, LHCGR, PMCHL2, AC100788.2, AC008700.1, AC093155.2, AC018797.2, OR2AE1, SMCR5, SLC24A3-AS1, AP001442.1, AC008626.1, CTHRC1P1, MAMDC2-AS1, PIGAP1, ZNF259P1, AL451105.1, RN7SL216P, AC135782.3, BTBD18, AL022323.2, ITPK1-AS1, ERC2-IT1, MGC15885, MAST4-IT1, MTCO3P15, CTD-2350J17.1, MACROD2-AS1, AC011853.1, AL121830.1, AC097634.2, AC034111.1, AC087359.1, AC016026.1, AC002543.1, AC069272.1, AC087257.1, DAXX, HNRNPRP1, TSPYL6, AL391863.2, CACNA2D3-AS1, CR936218.2, AC058823.1, AL355852.1, CENPCP1, SCYL2P1, Z82217.1, ANK2-AS1, AL807761.4, MTND5P26, OR10A5, UHRF2P1, AL353597.2, MTA3P1, MTND2P2, RN7SKP245, UST-AS1, NSA2P4, AL358333.2, MYG1P1, LINC00598, OR2L9P, TRHR, AL442071.1, MIR181A1HG, AC083836.1, AL354813.1, AC007298.2, MTND2P12, AP003035.1, AC004817.4, MTND6P18, AP000350.7, AL137222.1, RGS5-AS1, C18orf15, AC073591.1, OR51I2, (ENSG00000280258), AC048380.3, AC011479.3, MTCO1P35, MAPT-IT1, H1-1, AC019080.4, MTND3P2, GAPDHP54, SRMP3, DPRXP5, EIF4BP5, GAPDHP46, LINC01878, AC002069.4, AL157384.1, RPL17P14, MTCYBP40, PRKCA-AS1, PLCB1-IT1, AC005899.8, AC080014.1, AC040978.1, GSN-AS1, ARHGAP15-AS1, RPS2P45, AC012569.1, AC013562.2, AC123567.2, AL020995.1, (ENSG00000279645), AC090373.1, AC005692.1, IFIT1B, PRSS3P1, AIMP1P1, RSU1P3, DTD1-AS1, AC046158.3, LTV1P1, AC026427.2, ABT1P1, AC093155.1, AC009884.1, AL162615.1, NDUFA8P1, AL359922.3, LRRC74A, MTND5P16, HNRNPA1P76, OR52N1, LINC02753, AC108451.1, AC068870.3, AL627308.1, (ENSG00000236198), RGPD1, AC110921.1, MTND4P32, CCDC26, AC234781.1, AL359693.1, RN7SL863P, AC110769.3, KCNAB1-AS2, AL033543.1, AC004491.1, ARL5AP2, AC007349.3, OR51B6, PEX26, AC107029.2, FAM8A4P, AC022080.1, AL008727.1, RNF11P2, AC004986.1, LIPC-AS1, TFGP1, AC109446.3, ZNF101P2, AC097641.1, ATG10-AS1, SEPTIN7P1, AL133368.1, AC125437.2, AC022819.1, AC138028.1"
2,0.078,0.0842,66,1,1,RAB4B
3,0.0036,0.004,2,1536,1,(ENSG00000273842)
4,0.118,0.1283,92,0,1,TIGAR
5,0.1016,0.1102,69,95,1,RNF44
6,0.0036,0.004,2,2138,1,NUP210P2
7,0.0508,0.0561,16,10,1,DNAH3
8,0.167,0.1844,182,0,1,RPL23A
9,0.118,0.1242,115,0,1,EHD4-AS1
