Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","54","GC13P032315","365.828125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","57","GC17M043044","333.097869873047","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"CHEK2","Checkpoint Kinase 2","Protein Coding","61","GC22M028687","250.115539550781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2"
"TP53","Tumor Protein P53","Protein Coding","61","GC17M007661","243.54345703125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"CDH1","Cadherin 1","Protein Coding","56","GC16P068737","235.46369934082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","60","GC11P108222","234.554779052734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"PALB2","Partner And Localizer Of BRCA2","Protein Coding","51","GC16M023603","216.743850708008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALB2"
"MSH6","MutS Homolog 6","Protein Coding","55","GC02P047695","214.864074707031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","59","GC10P096651","196.723022460938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"BRIP1","BRCA1 Interacting Helicase 1","Protein Coding","55","GC17M061679","189.513427734375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRIP1"
"MSH2","MutS Homolog 2","Protein Coding","56","GC02P047403","187.614135742188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2"
"APC","APC Regulator Of WNT Signaling Pathway","Protein Coding","56","GC05P112707","182.789199829102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC"
"MLH1","MutL Homolog 1","Protein Coding","55","GC03P036993","180.017822265625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1"
"BARD1","BRCA1 Associated RING Domain 1","Protein Coding","54","GC02M214725","161.938262939453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BARD1"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","62","GC07P055019","161.570892333984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"AR","Androgen Receptor","Protein Coding","59","GC0XP067544","152.726318359375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"PMS2","PMS1 Homolog 2, Mismatch Repair System Component","Protein Coding","55","GC07M005973","152.392166137695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2"
"NBN","Nibrin","Protein Coding","55","GC08M089933","150.848205566406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBN"
"POLE","DNA Polymerase Epsilon, Catalytic Subunit","Protein Coding","56","GC12M132729","143.181549072266","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLE"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","59","GC03P179148","141.798202514648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"RAD51D","RAD51 Paralog D","Protein Coding","47","GC17M035092","135.777053833008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51D"
"HOXB13","Homeobox B13","Protein Coding","49","GC17M057543","132.790161132813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXB13"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","59","GC09M021967","130.069183349609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"C11orf65","Chromosome 11 Open Reading Frame 65","Protein Coding","37","GC11M108308","124.871162414551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C11orf65"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","61","GC14M104769","121.334938049316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","62","GC17P039687","118.708877563477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","59","GC12M025204","118.284149169922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"RAD50","RAD50 Double Strand Break Repair Protein","Protein Coding","56","GC05P132556","117.806571960449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD50"
"SMAD4","SMAD Family Member 4","Protein Coding","59","GC18P051028","115.574821472168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4"
"NF1","Neurofibromin 1","Protein Coding","55","GC17P031094","115.433166503906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"STK11","Serine/Threonine Kinase 11","Protein Coding","57","GC19P001177","112.782775878906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11"
