Gene,MutSig(Q-value),# Mut,# Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
INSL3,1,1,1013,<0.1%,No
KRT6C,4,4,1013,0.4%,No
ASPM,22,21,1013,2.1%,No
FOXD2,4,4,1013,0.4%,No
INSIG1,1,1,1013,<0.1%,No
OGN,2,2,1013,0.2%,No
FOXM1,5,5,1013,0.5%,No
FOXE1,4,4,1013,0.4%,No
FOXC2,2,2,1013,0.2%,No
FOXJ1,3,3,1013,0.3%,No
FOXE3,2,2,1013,0.2%,No
LAMA1,18,17,1013,1.7%,No
FOXL1,5,5,1013,0.5%,No
INPP4A,4,3,1013,0.3%,Yes
INPP5A,3,3,1013,0.3%,No
INPP5B,5,5,1013,0.5%,No
FOXO3,3,3,1013,0.3%,Yes
INPP5D,6,6,1013,0.6%,Yes
FOXO1,3,3,1013,0.3%,Yes
INPPL1,11,9,1013,0.9%,Yes
OGDH,7,6,1013,0.6%,No
FOXS1,2,2,1013,0.2%,No
OGG1,1,1,1013,<0.1%,No
PDX1,2,2,1013,0.2%,No
TNFRSF11B,4,4,1013,0.4%,No
FLNB,21,17,1013,1.7%,No
A1BG,2,2,1013,0.2%,No
FLNA,12,10,1013,1.0%,No
A2M,10,10,1013,1.0%,No
FLII,7,7,1013,0.7%,No
FLI1,4,4,1013,0.4%,Yes
METRNL,6,6,1013,0.6%,No
FLG,39,31,1013,3.1%,No
INSL4,2,1,1013,<0.1%,No
INSM1,4,4,1013,0.4%,No
INSR,4,4,1013,0.4%,Yes
OMG,2,2,1013,0.2%,No
OMP,3,3,1013,0.3%,No
INSRR,16,16,1013,1.6%,No
OPA1,6,6,1013,0.6%,No
EIF3E,2,2,1013,0.2%,Yes
FLOT2,2,2,1013,0.2%,No
OPCML,6,6,1013,0.6%,No
FLNC,19,15,1013,1.5%,No
SIX6,2,2,1013,0.2%,No
IRF2,2,2,1013,0.2%,Yes
OR1D2,1,1,1013,<0.1%,No
IRF3,5,5,1013,0.5%,No
OR1F1,1,1,1013,<0.1%,No
IRF4,4,4,1013,0.4%,Yes
OR2C1,6,6,1013,0.6%,No
CDH2,6,5,1013,0.5%,No
FMOD,2,2,1013,0.2%,No
FMO5,1,1,1013,<0.1%,No
WFDC9,1,1,1013,<0.1%,No
FMO3,3,3,1013,0.3%,No
FMO2,5,5,1013,0.5%,No
